id,question,answer,exam,section
44,Who is responsible for ensuring the privacy of data is maintained within thie cloud and spanning from on-premises to the cloud data stores.?,Data Engineer,azure-dp-900,simple
45,Which role owns the management and monitoring of data stores and data pipelines to ensure that data loads perform as expected.?,Data Engineer Role,azure-dp-900,simple
46,What does a data analyst enable businesses to do?,maximise the value of their data assets,azure-dp-900,simple
47,What is the Data Analyst role responsible for?,"Designing and building scalable models, cleaning and transforming the data, and enabling advanced analytics capabilities through reports and visualizations",azure-dp-900,simple
48,What does a data analyst process?,Raw data into relevant insights based on identified business requirements to deliver relevant insights,azure-dp-900,simple
49,Database Admin tasks and responsibilities,"Installing and upgrading the database server and application tools., Allocating system storage and planning storage requirements for the database system., Modifying the database structure, as necessary, from information given by application developers., Enrolling users and maintaining system security., Ensuring compliance with database vendor license agreement., Controlling and monitoring user access to the database., Monitoring and optimizing the performance of the database., Planning for backup and recovery of database information., Maintaining archived data., Backing up and restoring databases., Contacting database vendor for technical support., Generating various reports by querying from database as per need., Managing and monitoring data replication., Acting as liaison with users",azure-dp-900,simple
50,What is Azure Data Studio?,provides a graphical user interface for managing many different database systems,azure-dp-900,simple
51,Whats does Azure SQL database provide?,Database services in Azure. Its similar to SQL Server except in runs in the cloud.,azure-dp-900,simple
52,What can you use an Azure portal to do?,manage and adjust resources such as data storage size and number or cores. If you were running on-prem you would need a sysadmin?,azure-dp-900,simple
53,What are data engineers tasks with?,"managing and organizing data, while also monitoring for trents or inconsistencies that will impact business goals 1-2.3",azure-dp-900,simple
54,What kind of experience do Data Engineers need?,"programming, maths, computer science as well as soft skills to communicate data trends",azure-dp-900,simple
55,What are data Engineer tasks and responsibilities?,"Aligning the data architecture with business requirements., Data acquisition., Developing processes for creating and retrieving information from data sets., Using programming languages and tools to examine the data., Identifying ways to improve data reliability, efficiency, and quality., Conducting research for industry and business questions., Deploying sophisticated analytics programs, machine learning, and statistical methods., Preparing data for predictive and prescriptive modeling., Using data to discover tasks that can be automated.",azure-dp-900,simple
56,"As well as SSMS and SQLCMD, what additional technologies might you use to generate and test predictive models. ?",Azure Databricks and Azure HDInsight,azure-dp-900,simple
57,"Using a data engineer and working in a non-relational field, what might you use as your primary data source",Azure Cosmos DB,azure-dp-900,simple
58,What languages might you use to query data in Azure Cosmos DB?,"HiveQL, R or Python",azure-dp-900,simple
59,What does a Data Analyst do?,Responsible for understanding what data actually means?,azure-dp-900,simple
60,What will a skilled data analyst do with the data?,"explore the data and use it to determine trends, issues, and gain other insights that might be of benefit to the company",azure-dp-900,simple
61,What is a large part of the data analyst role concerned with?,Communication and visualization.,azure-dp-900,simple
62,What is Data visualisation key to doing?,"Presenting large amounts of information in ways that are universally understandable or easy to interpret or spot patterns, trends, and correlations",azure-dp-900,simple
63,What do Data analysts use visualization tools to do?,"Create charts, graphs, infographics to communicate info to clients.",azure-dp-900,simple
64,What does a good data analyst require experience and skills in?,Reporting tools such as Power BI an dSQL Server Reporting Services,azure-dp-900,simple
65,What are Data Analyst tasks and responsibilities?,"Making large or complex data more accessible, understandable, and usable., Creating charts and graphs, histograms, geographical maps, and other visual models that help to explain the meaning of large volumes of data, and isolate areas of interest., Transforming, improving, and integrating data from many sources, depending on the business requirements., Combining the data result sets across multiple sources. For example, combining sales data and weather data provides a useful insight into how weather influenced sales of certain products such as ice creams., Finding hidden patterns using data., Delivering information in a useful and appealing way to users by creating rich graphical dashboards and reports.",azure-dp-900,simple
66,What is Power BI a collection of and what does it do?,"collection of software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights.",azure-dp-900,simple
67,Where can data for PowerBI be located?,"Excel, a collection of cloud-based and on-premisese databases, or some other set of data sources.",azure-dp-900,simple
68,What does Power BI allow you to do?,"Easily connect to your data sources, discover what's important in that data, and share your findings with others in the organization",azure-dp-900,simple
69,What kind of structures do real world databse have?,highly variable structures e.g. a customer might have many phone numbers,azure-dp-900,simple
70,What is a key aspect of non-relational databases?,Store data in a very flexible manner. Non-relational database don't impose a schema on data,azure-dp-900,simple
71,In a non-relational system how do you store the information for entities?,in collection or containers rather than relational tables.,azure-dp-900,simple
72,Do 2 entities in the same collation need to have the same set of fields?,"No , they can have a different set of fields rather than a regular set of columns found in a relational table.",azure-dp-900,simple
73,"Since there is a lack of a fixed scheam in a non-relational database, what does this mean for each entity?",It must be self-describing. Often this is achieved by labelling each field with the name of the data it represents.,azure-dp-900,simple
74,Give an example of a non-relational collection of customer entities?,"## Customer 1
ID: 1
Name: Mark Hanson
Telephone: [ Home: 1-999-9999999, Business: 1-888-8888888, Cell: 1-777-7777777 ]
Address: [ Home: 121 Main Street, Some City, NY, 10110,
 Business: 87 Big Building, Some City, NY, 10111 ] 

## Customer 2
ID: 2
Title: Mr
Name: Jeff Hay
Telephone: [ Home: 0044-1999-333333, Mobile: 0044-17545-444444 ]
Address: [ UK: 86 High Street, Some Town, A County, GL8888, UK,
 US: 777 7th Street, Another City, CA, 90111 ]",azure-dp-900,simple
75,How are entities in a collection usually stored?,key-value order,azure-dp-900,simple
76,What does the simplest type of non-relational database enable?,"An application to either specify the unique key, or a range of keys as a query criteria",azure-dp-900,simple
77,"In the customers DB, how would the database enable an application.",Query customers by ID only,azure-dp-900,simple
78,"In a non-relational database, what would filtering data on anything other than the unique key mean?","Scan the entire collection of entities, parsing each entity in turn, and then applying any query criteria to each entity to find matches",azure-dp-900,simple
79,Do non-relational systesm support indexing?,More advanced ones do e.g. Cosmos DB,azure-dp-900,simple
80,4 examples of non-relational databases,IoT and telematics Retail and marketing Gaming Web and mobile apps,azure-dp-900,simple
81,What is semi-structured data?,Data that contains fields,azure-dp-900,simple
82,Do fields have to be the same for every entity in semi-structured data?,no,azure-dp-900,simple
83,What is the format of a json document?,"enclosed in curly brackets ({ and }). each filed has a name (a label) followed by a colon, and the value of the field.",azure-dp-900,simple
84,What are other semi-structured formats apart from json?,"Avro, ORC, and Parquet",azure-dp-900,simple
85,What is Avro.?,row-based format created by Apache,azure-dp-900,simple
86,What is ORC?,Optimized Row Columnar format that organises data into columns rather than rows. Developed by HortonWorsk for optimizing read and write operations in Apache Hive.,azure-dp-900,simple
87,What is hive?,Data warehouse system that supports fast summarization and querying over large datasets?,azure-dp-900,simple
88,What is Parquet?,Another columnar data format. Created by Cloudera and Twitter. A Parquet file contains row group. Data for each column is stored together in the same row group.,azure-dp-900,simple
89,What is unstructured data?,Data that doesn't naturally contain fields.,azure-dp-900,simple
90,What are examples of unstructured data?,"video, audio and other media streams.",azure-dp-900,simple
91,How would you describe unstructured data?,Amorphous blob of binary data. You can't search for specific elements in this data.,azure-dp-900,simple
92,How would you describe NoSQL?,"A loose term that simply means non-relational. The is debate about whether it's intended to imply <sup style="""">Not Sql, No Not Only SQL</sup> <sup style="""">1-4-4</sup>",azure-dp-900,simple
93,What non-relational database support a very of SQL adapted for documents?,Azure Cosmos DB,azure-dp-900,simple
94,What are the 4 catagories of non-relational databases?,-key-value stores -document databases -column family databases -graph databases,azure-dp-900,simple
95,What is a key-value store?,"Simplest and quickest type of NoSQL database for inserting and querying data.. Each data item in a key-value store has two elements, a key and a value.",azure-dp-900,simple
96,"In a key-value store, how are write operations restricted?",inserts and deletes,azure-dp-900,simple
97,What is the focus of a key-value store?,"Ability to read and write data very quickly. Search capabilities are secondary. A key-value store is an excellent choice for data ingestion, when a large volume of data arrives as a continual stream and must be stored immediately.",azure-dp-900,simple
98,What is Azure Table storage?,An example of a key-value store? Cosmos DB also implements a key-value store using the Table API,azure-dp-900,simple
99,how is a document DB composed?,"Each do had a unique id, but the fields in the documents are transparent to the database management system.",azure-dp-900,simple
100,How do document databases typically store data?,"JSON typically, but they could be encoded using other formats such as XML, YAML, BSON.",azure-dp-900,simple
101,How does having fields in the document database exposed?,Enable an application to query and filter data by using the values in these fields.,azure-dp-900,simple
102,What does a document for an entity typically contain?,The entire data for an entity.,azure-dp-900,simple
103,What could a single document contain?,info that would be spread across several relational tables in an RDBMS.,azure-dp-900,simple
104,Does a document store need need docs to have the same structure?,No. The free-form approach provides a great deal of flexibility. Apps can store different data in docs as business requirements change.,azure-dp-900,simple
105,"In a document database, how can an app retrieve a doc?",Using a document key,azure-dp-900,simple
106,"Althoug some document database management systems support in-place updates, what does Cosmos DB do?","Can only read and write entire docs. This approach helps to reduce fragmentation in the db, which can, in turn, improve performance",azure-dp-900,simple
107,Do document dbs ingest large volumes of data more quickly or more slowly than a relational database?,Yes. The focus of a doc database is it's query capabilities.,azure-dp-900,simple
108,What is a column family database?,organises data into rows and columns.,azure-dp-900,simple
109,Although a column family database can appear very similar to a relational database where is it's real power?,It's denormalized approach to structuring sparse data.,azure-dp-900,simple
110,When should you use column families?,To optimize the most common queries that your application performs,azure-dp-900,simple
111,What is the read impact for for column databases vs relational?,Can fetch the data with fewer reads.,azure-dp-900,simple
112,"In column family databases, how are teh column-families store?","Stored separately. e.g. the CustomerInfo column family might be held in one are of physical storage and the addressInfo column family in another, in a simple form or vertical partitioning.",azure-dp-900,simple
113,How is the data for a single entity configured?,A single entity that spans multiple column-families will have the same row key in each column family. Conceptual visualisation,azure-dp-900,simple
114,What is the most widely used column family database?,Apache Cassandra. Azure Cosmos DB supports the column-family approache through the cassandra API,azure-dp-900,simple
115,What does a graph database do?,"Store entities, but the main focus is on the relationships that these entities have with each other",azure-dp-900,simple
116,What 2 types of info do graph databases store?,nodes and edges,azure-dp-900,simple
117,What does properties for nodes and edges?,Provide information about that node or edge (like columns in a table).,azure-dp-900,simple
118,What does edges have?,A direction indicating the nature of the relationship,azure-dp-900,simple
119,What is the purpose of a graph database?,"Enable an app to efficiently perform queries that traverse the network of the nodes and edges, and to analyze the relationships between entities.",azure-dp-900,simple
121,What does having a graph database make straightforward?,"Contact inquiries - ""Find all employess who directly or indirectly work for Sarah""",azure-dp-900,simple
122,"For large graphs with lots of entities and relationships, what does graph database allow you to do?",Perform very complex analyses very quickly.,azure-dp-900,simple
123,"Although you can store the same info in a relational database compared with a graph database, what is the issue?",The SQL required might require many expensive recursive join operations and nested subqueries.,azure-dp-900,simple
124,What API does Azure Cosmos DB graph db use?,Gremlin API,azure-dp-900,simple
125,What is data analytics concerned with?,"Taking the data that your organization produces and using it to establish a picture of how your organization is performing, and what you can do to maintain business performance.",azure-dp-900,simple
126,What do Data Analytics help you to do?,"Identify strengths and weaknesses in your organisation, and enable you to make appropriate business decisions",azure-dp-900,simple
127,What does building a data warehouse require you to do?,capture the data that you need and wrangle it into an appropriate format,azure-dp-900,simple
128,What is the process of Wrangling?,"transform and map raw data into a more useful format for analysis. it can involve writing code to capture, filter, clean, combine, and aggregate data from many sources.",azure-dp-900,simple
130,What is Data ingestion?,process of obtaining and importing data for immediate use or storage in a database.,azure-dp-900,simple
131,How can data arrive for data ingestion?,"in a continuous strea, or in batches",azure-dp-900,simple
132,What might the ingestion process also perform?,"Filtering.e.g. ingestion might reject suspicious, corrupt or duplicated data",azure-dp-900,simple
133,When data ingestion should you perform transformations?,It is possible e.g. converting data into a standard form for later processing. All transformations must be quick to perform. Don't attempt to run any complex calcs or aggregations on the data at this stage.,azure-dp-900,simple
134,When does the Data Processing stage occur?,After the data has been ingested and collected.,azure-dp-900,simple
135,What does data processing do?,"Takes data in it's raw form, cleans it, and converts it into a more meaningful formt (tables, graphs, documents, and so on)",azure-dp-900,simple
136,What is the result of data processing?,"database of data that you can use to perform queries and generate visualizations, giving it the form and context ncessary to be interpreted by computers and used by employees throughout an organization.",azure-dp-900,simple
137,What is data cleaning?,"Generalized term that encompasses a range of actions, such as removing anomolies, and applying filters and transformations that would be too time-consuming to run during the ingestion stage",azure-dp-900,simple
138,What is the aim of data processing?,Convert the raw data into one of more business models,azure-dp-900,simple
139,What does the business model describe?,"Data in terms of meaningful business entities, and may aggregate items together and summarise info.",azure-dp-900,simple
140,What can the data processing stage generate?,predictive or other analytical models from the data,azure-dp-900,simple
141,What tools can data processing involve?,"Azure Functions, Azure Databricks, Azure cognitive services",azure-dp-900,simple
142,Why is ELT a scalable solution for the cloud?,it can make use of the extensive processing power available.,azure-dp-900,simple
143,How can ETL help with data privacy and compliance?,it can remove sensitive data before it arrives in your analytical data models,azure-dp-900,simple
144,What is Azure Data Factory?,cloud-based data integration service that allow you to create data-driven workflows for orchestrating data movement and transforming at scale.,azure-dp-900,simple
145,"Using Azure Data Factory, what can you create and schedule?",data-driven workloads (called pipelines) for orchestrating data movement and transforming data at scale.,azure-dp-900,simple
146,What is data visualisation?,graphical representation of information and data,azure-dp-900,simple
147,"By using visual elements like charts, graphs, and maps, what do data visualisation tools provide?","An accessible way to spot and understand trends, outliers and patterns in data.",azure-dp-900,simple
148,What can you do using Power BI?,"Connect to multiple different sources of data and combine them into a data model. This data lets you build visuals, and collections of visuals you can share as reports",azure-dp-900,simple
149,What does data visualisation help you focus on?,"The meaning of data, rather than the data itself. A good data visualisation enables you to quickly spot trends, anomolies, and potential issues.",azure-dp-900,simple
150,What are the common forms of data visualisations?,- Bar and column charts - Line charts - Matrix - Key influencers - Treemap - Scatter - Filled map,azure-dp-900,simple
151,What is a key influencer?,displays the major contributors to a selected result or value,azure-dp-900,simple
152,What are Treemaps?,"colored rectangles, with size representing the relative value of each item. they can be hierarchical, with rectangles nested within the main rectangles",azure-dp-900,simple
153,What does a Scatter chart show?,"Relationship between 2 numerical values. A bubble chart is a scatter scart that replaces data points with bubbles, with the bubble size representing the additional third dimension.",azure-dp-900,simple
154,What are the 5 categories for data analytics?,"descriptive, diagnostic, predictive, prescriptive, and cognitive analytics",azure-dp-900,simple
155,What does descriptive analytics help answer?,questions about what has happened based on historical data.,azure-dp-900,simple
156,What do descriptive analytics techniques summarise?,large datasets to describe outcomes to stakeholders,azure-dp-900,simple
157,"In descriptive analytics, by developing KPIs, what does these strategies help track?",success of failure of key objectives. Metrics such are ROI are used in many industries.,azure-dp-900,simple
158,Give an example of descriptive analytics?,Generating reports to provide a view of an organization's sales and financial data.,azure-dp-900,simple
159,What are the 3 steps in Diagnostic analytics|?,1. Identify anomalies in the data. 2. collect data that is related to these anomolies 3.Use statistical techniques to discover relationships and trends that explain these anomalies,azure-dp-900,simple
160,How do predictive analytics work?,"Answer questions about what actionvs should be taken to achieve a goal or target. By using insights from predictive analytics, data-driven decisions can be made.",azure-dp-900,simple
161,How do Cognitive Analytics work?,"draw inferences from existing data and patterns, derive conclusions based on existing knowledge bases, and then add these findings back into the knowledge base for future instances -- a self-learning feedback loop",azure-dp-900,simple
162,What might cognitive analytics help you to learn?,"What might hapen if circumstances change, and how you might handle these situations.",azure-dp-900,simple
163,What concept does effect cognitive analytics depend on?,"Machine learning algorithms using several NLP concepts to make sense of previously untapped data sources, such as call center conversation logs and product reviews",azure-dp-900,simple
164,"By tapping the benefits of massive parallel/distributed computing and falling costs of data storage and computing power, what does this mean?",No limit to the cognitive development that these systems can achieve,azure-dp-900,simple
165,What category does Azure Data Services fall into?,Fall into the PaaS category,azure-dp-900,simple
166,What is the simple reason to use Azure Data Services?,Reduces the amount of time that you need to invest to administer a DBMS,azure-dp-900,simple
167,What are some of the issues with using Azure Data Services?,Limit the range of custom administration tasks that you can perform. e.g. some DBMSs enable to to install custom software on a database.,azure-dp-900,simple
168,"Apart from reduce administrative workload, what does Azure Data Services ensure?",available for 99.9% of the time,azure-dp-900,simple
169,What are the 3 options for Azure SQL Database?,"Single Database, Elastic Pool and Managed Instance",azure-dp-900,simple
170,What is an elastic pool?,"Similar to Single Databse, but multiple databases can share the resources.",azure-dp-900,simple
171,When is an elastic pool useful?,"DBs with resource requirements that vary over time, and can help you reduce costs",azure-dp-900,simple
172,What is the use cases for Azure SQL Database?,best option for low cost with minimal administration. Not full compatible with on-premises SQL Server. Best used in new cloud projects,azure-dp-900,simple
173,What 3 uses is Azure SQL database used for?,"1- Modern cloud apps that need to use the latest stable SQL Server features 2-Apps that require high availability 3-Systems with a variable load, that need the db server to scale up and down quickly",azure-dp-900,simple
174,Business benefits for Azure SQL Database,"-scalability -HA - 99%, point in time restore - Advanced threat protection -Auditing -Encryption",azure-dp-900,simple
175,Does single db or elastic pool support linked server?,No,azure-dp-900,simple
176,What is a good choice if if there are limitations of the Single Database and Elastic Pool?,Azure SQL Database managed instance.,azure-dp-900,simple
177,"How does Managed instance compare against ""The Single Database"" and ""Elastic Pool"" options.?",The Managed Instance runs a fully controllable instance in the cloud.,azure-dp-900,simple
178,How comp[atible is SQL Managed Instance vs the latest SQL Server (Enterprise Edition) db engine.?,it is near 100% compatibility with the latest SQL Server version and provide a native vinet implementation.,azure-dp-900,simple
179,What does SQL Managed Instance allow customers to do with their on-premises apps?,Shift their apps to the cloud with minimal app and db changes,azure-dp-900,simple
180,What does SQL Managed Instance preserve?,"All PaaS capabilities (automatic patching and version updates, automated backups, HA). these drastically reduce management overhead and TCO",azure-dp-900,simple
181,What does Azure SQL Database depend on?,"Other Azure services - Azure Storage for backups, Event hubs for telemetry, Azure AD for auto.",azure-dp-900,simple
182,How are all communications managed for Azure SQL Database?,encrypted and signed using certificates,azure-dp-900,simple
184,When would you consider using Azure SQL Databse managed instance?,lift-and-shift an on-prem SQL Server instance and all its databases to the cloud without incurring the management overhead of running SQL Server on a virtual machine,azure-dp-900,simple
185,Give 3 example features of Managed Instance that are not available with the Single Database or Elastic Pool.,"Linked Server, Service Broker, Database mail.",azure-dp-900,simple
186,What is the DMA?,Data Migration Assistant - analyses your databases on SQL Server and reports any issues that could block migration to a managed instance,azure-dp-900,simple
187,What does managed instance deployment enable a system administrator to do.?,Spend less time on admin tasks because the SQL Database service either performs them for you or greatly simplifies those tasks.,azure-dp-900,simple
188,What automated taskes are available for manages instance.?,"software installation and patching, dynamic instance resizing and configuration, backups etc..",azure-dp-900,simple
189,"As well as Azure SQL Database, what 3 data services are available for Azure Data Services?","PostgreSQL, MySQL, MariaDB.",azure-dp-900,simple
190,What is MariaDB compatible with?,Offers compatibility with Oracle Database.,azure-dp-900,simple
191,What is one notable feature of MariaDB?,built in support for temporaral data,azure-dp-900,simple
192,What type of database is PostgreSQL?,"A hybrid relational-object database. As well as being able to store in relational table, it also enables youto store custom data-types, with their own non-relational properties.",azure-dp-900,simple
193,What is another key feature of a PostgreSQL Database?,"ability to store and manipulate geometric data, such as lines, circles and polygons",azure-dp-900,simple
194,Whats does Azure DAtabase for MySQL service include?,HA at no additional cost and scalability as required.,azure-dp-900,simple
195,What does Azure Databaes for MySQL provide?,"A global datagae that scales up to large database without the need to manage hardware, network components, virtual servers, software patches, and other underlying components",azure-dp-900,simple
196,What benefits for Azure DB from MySQL?,"HA, perf, scale, secure dta, automatic backups and restores in 35 days, Security",azure-dp-900,simple
197,What type of pricing does Azure Database for MySQL use?,pay-as-you-go pricing,azure-dp-900,simple
198,What are benefits for Azure Database for Maria DB?,HA at no additional cost. Perf Scaling Secured protection of sensitive dta Automatic backups and point-in-time-restore for up to 35 days Enterprise-grade security and compliance,azure-dp-900,simple
199,Are all features of on-premises PostgreSQL available in Azure Database for PostgreSQL?,No. These are mainly concerned with the extensions that users can add a database to perform specialized tasks and interacting with the Operating System.,azure-dp-900,simple
200,What are the 2 deployment options for Azure PostgreSQL?,Single-server and Hyperscale,azure-dp-900,simple
201,What does the single-server deployment option for PostgreSQL provide similar benefits to?,Azure Database for MySQL,azure-dp-900,simple
202,4 tools for provisioning in Azure,- Azure Portal - Azure CLI - Azure Powershell - Azure Resource Manager templates,azure-dp-900,simple
203,What are ARM templates?,Azure Resource Manager templates,azure-dp-900,simple
204,What does an ARM template do?,"describes the service (or services) that you want to deploy in a text files, in a format known as JSON",azure-dp-900,simple
205,What does an example JSON file look like for an ARM template?,"""resources"" : [
{
 ""name"" : ""sql-server-dev"" ,
 ""type"" : ""Microsoft.Sql/servers"" ,
 ""apiVersion"" : ""2014-04-01-preview"" ,
 ""location"" : ""[parameters('location')]"" ,
 ""tags"" : {
 ""displayName"" : ""SqlServer"" 
 } ""properties"" : {}
 }
] <font color=""#171717""> 2-2-2 </font>",azure-dp-900,simple
206,How do you send a template to azure.?,"use ""az deployment group create"" command in Azure CLI, or ""New-AzResourceGroupDeployment"" command in Azure powershell",azure-dp-900,simple
208,What other options does PostgreSQL support?,hyperscale option which support ultra-hight performance workloads.,azure-dp-900,simple
209,What 3 things does hyperscale deployment option for PostgreSQL support?,"1. Horizontal scaling across multiple machines 2. Query parallelization across these servers 3. Excellent support for multi-tenant apps, real teime operational analytics, and hitgh throughput transactional workloads",azure-dp-900,simple
210,What is an Azure Private Endpoint?,A newtwork interface that connects you privately and secure;ly to a service powered by Azure Private Link.,azure-dp-900,simple
211,What is a security principal?,"Object that represents a user, group, service principal, or managed identity that is requesting access to Azure resources",azure-dp-900,simple
212,"In the Azure portal, what do you use to add roles assignments to a resource?",Access control (IAM) page,azure-dp-900,simple
213,What does the role assignments tab enable you to do?,Associate a role with a a security principal defining the level of access the role has to the resource.,azure-dp-900,simple
214,What does Advanced data security implement?,Threat protection and assessment,azure-dp-900,simple
215,What does Threat protection add?,Security intelligence to your servce. This monitors the service and detects unusual patterns of activity that could be harmful,azure-dp-900,simple
216,If you conection using a web app running uder Azure App server what will the connection policy do?,It will Redirect by default,azure-dp-900,simple
217,What does a policy of redirect mean?,"After your applic establishes a connection to the Azure SQL database via the gate, all following requests will go direct rather than via the gateway.",azure-dp-900,simple
218,"In re: to gates, what happens if you connection subsequently fails?","You app will have to reconnect through the gates, when it might be directed to a different copy of the DB running on another server in the cluster.",azure-dp-900,simple
219,Provision Azure relational database services - process.,Do the work,azure-dp-900,simple
220,What type of utility is Azure Data Studio?,Graphical utility for creating and running SQL queries from your desktop.,azure-dp-900,simple
221,What tools can you use to connect to PostgreSQL database?,gpAdmin graphical user interface and psql command-line utility,azure-dp-900,simple
222,What does Azure Table storage implement?,NoSQL key-value model,azure-dp-900,simple
223,How does the noSQL key-value model store the data for an item?,Stored as a set of fields and the item is identified by a unique key.,azure-dp-900,simple
224,What does an Azure table enable you to store?,semi-structured data.,azure-dp-900,simple
225,What doe Azure Storage tables have no concept of?,"relationships, stored procs, secondary indexes, or foreign keys",azure-dp-900,simple
